wave,n
1.9957,2.16517998
1.9973,2.16516214
1.9988,2.16514432
2.0004,2.16512651
2.0019,2.16510871
2.0034,2.16509091
2.005,2.16507313
2.0065,2.16505535
2.0081,2.16503759
2.0097,2.16501984
2.0112,2.16500209
2.0128,2.16498435
2.0143,2.16496663
2.0159,2.16494891
2.0175,2.1649312
2.019,2.1649135
2.0206,2.16489581
2.0222,2.16487813
2.0238,2.16486046
2.0254,2.16484279
2.0269,2.16482514
2.0285,2.1648075
2.0301,2.16478986
2.0317,2.16477224
2.0333,2.16475463
2.0349,2.16473702
2.0365,2.16471942
2.0381,2.16470183
2.0397,2.16468425
2.0413,2.16466668
2.0429,2.16464912
2.0445,2.16463157
2.0461,2.16461403
2.0478,2.16459649
2.0494,2.16457897
2.051,2.16456145
2.0526,2.16454395
2.0542,2.16452645
2.0559,2.16450896
2.0575,2.16449148
2.0591,2.16447401
2.0608,2.16445654
2.0624,2.1644391
2.0641,2.16442165
2.0657,2.16440422
2.0667,2.16439399
2.0673,2.16438679
2.069,2.16436937
2.0707,2.16435196
2.0723,2.16433456
2.074,2.16431718
2.0756,2.16429979
2.0773,2.16428242
2.079,2.16426506
2.0806,2.1642477
2.0823,2.16423035
2.084,2.16421301
2.0856,2.16419569
2.0873,2.16417836
2.089,2.16416105
2.0907,2.16414375
2.0924,2.16412645
2.0941,2.16410916
2.0958,2.16409189
2.0975,2.16407462
2.0992,2.16405736
2.1009,2.1640401
2.1026,2.16402286
2.1043,2.16400562
2.106,2.1639884
2.1077,2.16397118
2.1094,2.16395397
2.1111,2.16393677
2.1128,2.16391958
2.1146,2.16390239
2.1163,2.16388522
2.118,2.16386805
2.1197,2.16385089
2.1215,2.16383374
2.1232,2.1638166
2.125,2.16379946
2.1267,2.16378234
2.1285,2.16376522
2.1302,2.16374811
2.132,2.16373101
2.1337,2.16371392
2.1355,2.16369683
2.1372,2.16367976
2.139,2.16366268
2.1408,2.16364562
2.1425,2.16362857
2.1443,2.16361153
2.1461,2.16359449
2.1478,2.16357746
2.1496,2.16356044
2.1514,2.16354343
2.1532,2.16352643
2.155,2.16350943
2.1568,2.16349244
2.1586,2.16347546
2.1604,2.16345849
2.1622,2.16344153
2.164,2.16342457
2.1658,2.16340762
2.1676,2.16339068
2.1694,2.16337375
2.1712,2.16335682
2.1731,2.16333991
2.1749,2.16332299
2.1767,2.16330609
2.1785,2.1632892
2.1804,2.16327232
2.1822,2.16325543
2.184,2.16323856
2.1859,2.1632217
2.1877,2.16320484
2.1896,2.163188
2.1914,2.16317116
2.1933,2.16315432
2.1951,2.1631375
2.197,2.16312068
2.1989,2.16310387
2.2007,2.16308707
2.2026,2.16307027
2.2045,2.16305348
2.2063,2.1630367
2.2082,2.16301992
2.2101,2.16300316
2.212,2.1629864
2.2139,2.16296965
2.2158,2.16295291
2.2177,2.16293617
2.2196,2.16291944
2.2215,2.16290272
2.2234,2.162886
2.2253,2.16286929
2.2272,2.1628526
2.2291,2.1628359
2.231,2.16281921
2.2329,2.16280254
2.2349,2.16278586
2.2368,2.1627692
2.2387,2.16275254
2.2407,2.16273589
2.2426,2.16271924
2.2445,2.16270261
2.2465,2.16268598
2.2484,2.16266935
2.2504,2.16265274
2.2523,2.16263613
2.2543,2.16261953
2.2545,2.16261751
2.2563,2.16260293
2.2582,2.16258634
2.2602,2.16256976
2.2622,2.16255318
2.2642,2.16253661
2.2661,2.16252005
2.2681,2.1625035
2.2701,2.16248695
2.2721,2.16247041
2.2741,2.16245387
2.2761,2.16243734
2.2781,2.16242082
2.2801,2.1624043
2.2821,2.16238779
2.2841,2.16237129
2.2861,2.16235479
2.2881,2.1623383
2.2902,2.16232182
2.2922,2.16230534
2.2942,2.16228887
2.2962,2.16227241
2.2983,2.16225595
2.3003,2.1622395
2.3024,2.16222305
2.3044,2.16220661
2.3065,2.16219018
2.3085,2.16217375
2.3106,2.16215733
2.3126,2.16214092
2.3147,2.16212451
2.3168,2.1621081
2.3188,2.16209171
2.3209,2.16207532
2.323,2.16205893
2.3251,2.16204256
2.3272,2.16202618
2.3292,2.16200981
2.3313,2.16199346
2.3334,2.1619771
2.3355,2.16196075
2.3377,2.16194441
2.3398,2.16192807
2.3419,2.16191174
2.344,2.16189541
2.3461,2.16187909
2.3482,2.16186278
2.3504,2.16184647
2.3525,2.16183016
2.3546,2.16181387
2.3568,2.16179757
2.3589,2.16178129
2.3611,2.16176501
2.3632,2.16174873
2.3654,2.16173246
2.3675,2.16171619
2.3697,2.16169993
2.3719,2.16168368
2.374,2.16166743
2.3762,2.16165118
2.3784,2.16163495
2.3806,2.16161871
2.3828,2.16160248
2.385,2.16158626
2.3872,2.16157004
2.3894,2.16155383
2.3916,2.16153762
2.3938,2.16152142
2.396,2.16150522
2.3982,2.16148903
2.4004,2.16147284
2.4026,2.16145666
2.4049,2.16144048
2.4071,2.16142431
2.4093,2.16140814
2.4116,2.16139197
2.4138,2.16137581
2.4161,2.16135966
2.4183,2.16134351
2.4206,2.16132736
2.4229,2.16131123
2.4251,2.16129509
2.4274,2.16127896
2.4297,2.16126283
2.4319,2.16124671
2.4342,2.16123059
2.4365,2.16121448
2.4388,2.16119837
2.4411,2.16118226
2.4434,2.16116616
2.4457,2.16115007
2.448,2.16113398
2.4503,2.16111789
2.4527,2.16110181
2.455,2.16108572
2.4573,2.16106965
2.4596,2.16105358
2.462,2.16103751
2.4643,2.16102145
2.4667,2.16100539
2.469,2.16098933
2.4714,2.16097328
2.4737,2.16095723
2.4761,2.16094119
2.4784,2.16092515
2.48,2.16091464
2.4808,2.16090911
2.4832,2.16089308
2.4856,2.16087705
2.488,2.16086103
2.4903,2.16084501
2.4927,2.16082899
2.4951,2.16081297
2.4975,2.16079696
2.5,2.16078096
2.5024,2.16076495
2.5048,2.16074895
2.5072,2.16073295
2.5096,2.16071696
2.5121,2.16070097
2.5145,2.16068498
2.5169,2.16066899
2.5194,2.16065301
2.5218,2.16063703
2.5243,2.16062106
2.5268,2.16060509
2.5292,2.16058912
2.5317,2.16057315
2.5342,2.16055719
2.5366,2.16054122
2.5391,2.16052527
2.5416,2.16050931
2.5441,2.16049336
2.5466,2.16047741
2.5491,2.16046146
2.5516,2.16044552
2.5541,2.16042958
2.5567,2.16041364
2.5592,2.1603977
2.5617,2.16038176
2.5642,2.16036583
2.5668,2.1603499
2.5693,2.16033397
2.5719,2.16031805
2.5744,2.16030212
2.577,2.1602862
2.5796,2.16027028
2.5821,2.16025437
2.5847,2.16023845
2.5873,2.16022254
2.5899,2.16020663
2.5925,2.16019072
2.595,2.16017481
2.5976,2.16015891
2.6003,2.160143
